PING 10.1.1.1 (10.1.1.1) 56(84) bytes of data.
64 字节，来自 10.1.1.1: icmp_seq=203 ttl=63 时间=77.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=204 ttl=63 时间=78.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=206 ttl=63 时间=78.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=207 ttl=63 时间=78.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=208 ttl=63 时间=79.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=209 ttl=63 时间=76.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=210 ttl=63 时间=77.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=211 ttl=63 时间=80.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=212 ttl=63 时间=79.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=214 ttl=63 时间=78.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=215 ttl=63 时间=78.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=216 ttl=63 时间=79.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=217 ttl=63 时间=39.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=218 ttl=63 时间=79.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=220 ttl=63 时间=78.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=222 ttl=63 时间=77.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=223 ttl=63 时间=39.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=224 ttl=63 时间=79.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=226 ttl=63 时间=79.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=227 ttl=63 时间=80.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=228 ttl=63 时间=79.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=229 ttl=63 时间=81.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=230 ttl=63 时间=81.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=232 ttl=63 时间=78.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=234 ttl=63 时间=80.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=235 ttl=63 时间=79.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=236 ttl=63 时间=79.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=238 ttl=63 时间=81.4 毫秒
