PING 10.1.1.1 (10.1.1.1) 56(84) bytes of data.
64 字节，来自 10.1.1.1: icmp_seq=332 ttl=63 时间=83.2 毫秒
64 字节，来自 10.1.1.1: icmp_seq=334 ttl=63 时间=85.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=336 ttl=63 时间=84.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=338 ttl=63 时间=84.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=339 ttl=63 时间=42.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=340 ttl=63 时间=84.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=342 ttl=63 时间=85.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=343 ttl=63 时间=83.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=344 ttl=63 时间=84.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=345 ttl=63 时间=41.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=346 ttl=63 时间=83.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=348 ttl=63 时间=84.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=350 ttl=63 时间=84.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=352 ttl=63 时间=83.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=353 ttl=63 时间=42.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=354 ttl=63 时间=83.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=356 ttl=63 时间=84.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=357 ttl=63 时间=82.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=358 ttl=63 时间=81.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=359 ttl=63 时间=40.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=360 ttl=63 时间=83.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=362 ttl=63 时间=83.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=364 ttl=63 时间=83.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=366 ttl=63 时间=81.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=367 ttl=63 时间=40.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=368 ttl=63 时间=84.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=370 ttl=63 时间=82.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=371 ttl=63 时间=82.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=372 ttl=63 时间=80.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=373 ttl=63 时间=41.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=374 ttl=63 时间=82.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=376 ttl=63 时间=82.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=378 ttl=63 时间=81.9 毫秒
64 字节，来自 10.1.1.1: icmp_seq=379 ttl=63 时间=41.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=380 ttl=63 时间=82.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=382 ttl=63 时间=80.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=383 ttl=63 时间=80.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=384 ttl=63 时间=80.6 毫秒
64 字节，来自 10.1.1.1: icmp_seq=385 ttl=63 时间=82.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=386 ttl=63 时间=82.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=387 ttl=63 时间=41.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=388 ttl=63 时间=81.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=390 ttl=63 时间=80.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=391 ttl=63 时间=81.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=392 ttl=63 时间=79.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=394 ttl=63 时间=80.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=395 ttl=63 时间=79.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=396 ttl=63 时间=81.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=397 ttl=63 时间=81.3 毫秒
64 字节，来自 10.1.1.1: icmp_seq=398 ttl=63 时间=80.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=399 ttl=63 时间=39.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=400 ttl=63 时间=81.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=402 ttl=63 时间=80.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=403 ttl=63 时间=82.1 毫秒
64 字节，来自 10.1.1.1: icmp_seq=404 ttl=63 时间=80.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=405 ttl=63 时间=40.7 毫秒
64 字节，来自 10.1.1.1: icmp_seq=406 ttl=63 时间=80.8 毫秒
64 字节，来自 10.1.1.1: icmp_seq=408 ttl=63 时间=81.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=410 ttl=63 时间=79.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=411 ttl=63 时间=39.5 毫秒
64 字节，来自 10.1.1.1: icmp_seq=412 ttl=63 时间=80.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=414 ttl=63 时间=80.4 毫秒
64 字节，来自 10.1.1.1: icmp_seq=415 ttl=63 时间=79.0 毫秒
64 字节，来自 10.1.1.1: icmp_seq=416 ttl=63 时间=79.1 毫秒
